,사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,장소일치여부
2991,달성군,2023-07-03,대구 달성군 다사읍 달구벌대로 893,흑백,5.0,한국고양이,2살,암컷,양호,.,방사,2023-07-03,119동물병원,2023-07-06,대구 달성군 다사읍 달구벌대로 893,-,False
2992,서구,2023-07-03,서구 큰장로 109-15일대,치즈태비,3.0,코숏,5살,암컷,치료요함,구내염,방사,2023-07-03,대구시수의사회(보경),2023-07-06,서구 큰장로 109-15일대,-,False
2993,서구,2023-07-03,비산동1219-35,흑백,4.7,코숏,2살,수컷,양호, ,방사,2023-07-03,대구시수의사회(더펫),2023-07-04,비산동1219-35,-,False
2994,군위군,2023-07-01,부계면 창평리,노란색,3.2,코숏,1살,수컷,치료요함,치즈색 줄무늬,방사,2023-07-01,군위종합동물병원,2023-07-03,부계면 창평리,-,False
2995,남구,2023-07-01,대구광역시 남구 효서길 82,흰갈색,5.08,코숏,1살,수컷,양호,없음,방사,2023-07-01,우리동물병원,2023-07-03, 대구광역시 남구 효서길 82 (봉덕동),-,True
2996,달성군,2023-07-01,테크노북로 2길 10,노랑흰색,2.1,믹스,1살,수컷,양호,없음,방사,2023-07-01,동행동물병원,2023-07-02,테크노북로 2길 10,-,False
2997,북구,2023-07-01,북구 관음동로 31길 6-12,치즈,3.6,코숏,1살,수컷,양호,무,방사,2023-07-01,강동물병원,2023-07-03,북구 관음동로 31길 6-12,-,False
2998,북구,2023-06-30,관음동로 31길 6-12,치즈,5.0,코숏,1살,수컷,양호,2주항생제투여,방사,2023-06-30,강동물병원,2023-07-01,북구 관음동로 31길 6-12,-,True
2999,달서구,2023-06-30,달서구 성서공단로 59,흰색 검정 노랑,3.04,코숏,2살,암컷,양호,없음,방사,2023-06-30,애플동물병원,2023-07-03,달서구 성서공단로 59,-,False
3000,달성군,2023-06-30,논공읍 논공로 396-22,검은색 흰색 노란색,3.5,믹스,2살,암컷,양호,없음,방사,2023-06-30,동행동물병원,2023-07-03,논공로396-22,-,True
3001,달성군,2023-06-30,테크노북로2길 10 108동 602호,삼색이,3.0,코숏,1살,암컷,양호,없음,방사,2023-06-30,현풍동물병원,2023-07-03,테크노북로2길 10,-,True
3002,서구,2023-06-30,구평리시장,갈색태비,4.6,코숏,2살,수컷,치료요함,목뒷부위에 농포성 상처와 안면부에 다수의 상처가 나있음,방사,2023-06-30,대구시수의사회(평리),2023-07-01,구평리시장,-,False
3003,달서구,2023-06-29,달서구 성서공단로236,노랑줄무늬,3.3,코숏,3살,암컷,양호,없음,방사,2023-06-29,온누리동물병원,2023-07-03,달서구 성서공단로236,-,False
3004,달서구,2023-06-29,달서구 조암남로16길 20,흰색 검정,5.1,코숏,4살,수컷,양호,없음,방사,2023-06-29,애플동물병원,2023-06-30,달서구 조암남로16길 20,-,False
3005,달성군,2023-06-29,가창면 단산3길 62,흰갈검,3.5,믹스,2살,암컷,양호,없음,방사,2023-06-29,동인동물병원,2023-07-02,가창면 단산3길 62,-,False
3006,달성군,2023-06-29,테크노대로 5길 58 인근,삼색,3.0,코숏,2살,암컷,양호,없음,방사,2023-06-29,현풍동물병원,2023-07-02,테크노대로5길 58,-,True
3007,중구,2023-06-29,대구광역시 중구 동성로4길 8 (삼덕동1가),흰색검정,2.84,코숏,1살,암컷,양호,.,방사,2023-06-29,대구시수의사회(삼덕),2023-07-02,대구광역시 중구 동성로4길 8 (삼덕동1가),-,False
3008,중구,2023-06-29,남산로 3안길 15,금색 흰색,2.53,한국고양이,2살,암컷,양호,없슴,방사,2023-06-29,대구시수의사회(동산),2023-07-02,남산로 3안길 15,-,False
3009,중구,2023-06-29,대구광역시 중구 동성로4길 8 (삼덕동1가),흰색검정,3.04,코숏,1살,수컷,양호,.,방사,2023-06-29,대구시수의사회(삼덕),2023-06-30,대구광역시 중구 동성로4길 8 (삼덕동1가),-,False
3010,중구,2023-06-29,남산로 3안길 15,삼색,2.94,한국고양이,2살,암컷,양호,없슴,방사,2023-06-29,대구시수의사회(동산),2023-07-02,남산로 3안길 15,-,False
