,종류,공고번호,발견장소,특징,성별,상태
3848,경남-하동-2024-00052,경상남도 하동군 금..,없음,암컷,방사,코숏|삼색
3852,경남-하동-2024-00051,경상남도 하동군 금..,없음,암컷,방사,코숏|삼색
3856,대구-동구-2024-00164,대구시 동구 반야월..,건강 양호,암컷,방사,KSH|치즈
3860,충남-서천-2024-00113,충청남도 서천군 서..,"전신이 연갈,진갈 ..",수컷,방사,한국산고양이|갈색
3864,경기-안산-2024-00641,본오동 879-16..,배꼽탈장,수컷,중성화,한국고양이|고등어줄무늬
3868,경기-안산-2024-00642,건건8길10 e편한..,없음,수컷,방사,한국고양이|흰노
3872,경기-안산-2024-00640,상록구 서당길 62..,없음,암컷,방사,한국고양이|흰검(콧수염)
3876,경남-하동-2024-00053,경상남도 하동군 금..,없음,암컷,방사,코숏|카오스
3880,인천-동구-2024-00083,솔빛로54사회복지관..,새끼낳지못하게 포획..,암컷,방사,한국고양이|고등어테비반+흰색
3884,경남-고성-2024-00831,고성읍 남해안대로3..,없음,수컷,방사,한국고양이|흑갈색
3888,전북-정읍-2024-00580,북면 큐바이오텍,없음,수컷,방사,코숏|흰색
3892,경기-안산-2024-00629,원곡동 744-6,없음,수컷,방사,코숏|고등어
3896,경기-부천-2024-00336,(원미구) 역곡동 ..,젖소,수컷,방사,한국길고양이|젖소
3900,대구-수성-2024-00252,지범로 22길 10..,.,암컷,방사,코숏|흰 + 검 + 갈
3904,전북-정읍-2024-00564,운학1길75,없음,암컷,방사,한국고양이|황.검.백
3908,전북-정읍-2024-00561,운학1길75,없음,수컷,방사,한국고양이|황.백
3912,전북-정읍-2024-00560,운학1길75,없음,암컷,방사,한국고양이|황.백
3916,서울-용산-2024-00236,용산구 이태원동 1..,임신중,암컷,방사,코숏|삼색
3920,경기-안산-2024-00639,상록구 서당길 62..,없음,수컷,방사,한국고양이|고등어줄무늬
3924,경남-고성-2024-00852,하일송천2길92,없슴,수컷,방사,믹스|검정
3928,경남-거제-2024-00605,사등면 아사3길 1..,없음,수컷,방사,코숏|황색
3932,전북-정읍-2024-00563,운학1길75,없음,수컷,방사,한국고양이|황.백
