,사업지역(시군구),포획일자,포획장소,몸무게(kg),성별,상태,TNR일자,TNR병원,방사일자,방사장소,방사포획일치
94,서구,2024-04-24,내당동 463-7,3.16,암컷,방사,2024-04-24,대구수의사회(아이펫),2024-04-27,내당동 463-7,True
95,달서구,2024-04-24,달서구 성서서로57,4.1,수컷,방사,2024-04-24,온누리동물병원,2024-04-25,달서구 성서서로57,True
96,북구,2024-04-24,북구 대현로10길27,4.5,암컷,방사,2024-04-24,북부동물병원,2024-04-27,북구 대현로10길 27,True
97,달서구,2024-04-24,대구광역시 달서구 장기로 116 (성당동 성남아파트),2.8,암컷,방사,2024-04-24,본리종합동물병원,2024-04-27,대구광역시 달서구 장기로 116 (성당동 성남아파트),True
98,달서구,2024-04-24,대구광역시 달서구 성서공단북로60길 6 (갈산동),4.7,수컷,방사,2024-04-24,온누리동물병원,2024-04-25,달서구 성서공단북로60길6,True
99,달서구,2024-04-24,대구광역시 달서구 성서공단북로60길 6 (갈산동),4.5,수컷,방사,2024-04-24,온누리동물병원,2024-04-25,달서구 성서공단북로60길6,True
100,서구,2024-04-24,서구 죽전길 126-58일대,4.3,수컷,방사,2024-04-24,대구시수의사회(보경),2024-04-25,서구 죽전길 126-58일대,True
101,달서구,2024-04-23,달서구 진천로 16길 85,4.84,수컷,방사,2024-04-24,애플동물병원,2024-04-25,달서구 진천로 16길 85,True
102,북구,2024-04-23,북구 대현로10길27,5.3,암컷,방사,2024-04-23,북부동물병원,2024-04-26,북구 대현로10길 27,True
103,달서구,2024-04-23,달서구 달구벌대로995,3.3,암컷,방사,2024-04-23,온누리동물병원,2024-04-26,달서구 달구벌대로995,True
104,서구,2024-04-23,비산동 9-12,2.8,수컷,방사,2024-04-23,대구시수의사회(평리),2024-04-24,비산동 9-12,True
105,서구,2024-04-23,내당동 463-7,3.66,수컷,방사,2024-04-23,대구수의사회(아이펫),2024-04-24,내당동 463-7,True
106,북구,2024-04-23,북구 연암로6,3.6,암컷,방사,2024-04-23,북부동물병원,2024-04-26,북구 연암로6,True
107,달성군,2024-04-23,다사읍 매곡로 7,5.0,수컷,방사,2024-04-23,119동물병원,2024-04-24,다사읍 매곡로 7,True
108,동구,2024-04-23,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),3.3,암컷,방사,2024-04-23,동대구동물의료센터,2024-04-26,대구광역시 동구 팔공로 274,True
109,달서구,2024-04-23,달서구 성서공단북로60길6,4.3,수컷,방사,2024-04-23,온누리동물병원,2024-04-24,달서구 성서공단북로60길6,True
110,수성구,2024-04-23,청호로 438,3.2,암컷,방사,2024-04-23,세인트동물병원,2024-04-26,청호로 438,True
111,수성구,2024-04-23,청호로 438,3.4,수컷,방사,2024-04-23,세인트동물병원,2024-04-24,청호로 438,True
