관리번호,사업지역(시도),사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,포획사진,중성화사진(수술전),중성화사진(수술후),방사사진
4.27345E+14,대구광역시,북구,2024-04-29,대구시 북구 산격로 1길 18,고등어색,5.3,믹스,3살추정,수컷,양호,없음,방사,2024-04-29,가나동물병원,2024-04-30,대구시 북구 산격로 1길 18,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404302004901.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404302004952.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404302004192.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404302004609.jpg
4.27347E+14,대구광역시,달서구,2024-04-29,대구광역시 달서구 상인서로 94,노란줄무늬 &흰색,5.18,코숏,2살추정,수컷,양호,없음,방사,2024-04-29,초록동물병원,2024-04-30,대구광역시 달서구 상인서로 94,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291804930.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291804660[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291804479.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021705174.jpg
4.27347E+14,대구광역시,달서구,2024-04-29,대구광역시 달서구 상인서로 94,검정색&흰색,4.38,코숏,2살추정,수컷,양호,없음,방사,2024-04-29,초록동물병원,2024-04-30,대구광역시 달서구 상인서로 94,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291804568.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291804526.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291804364.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021705266.jpg
4.27347E+14,대구광역시,달서구,2024-04-29,대구시 달서구 장기로 88-25,검은색 흰색 노란색,2.36,코숏,3년추정,암컷,양호, 검은색 노란색 줄무늬 발 흰색,방사,2024-04-29,두류동물병원,2024-05-02,대구시 달서구 장기로 88-25,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291704147.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291704373[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291704453.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405030805535.jpg
4.27347E+14,대구광역시,달서구,2024-04-29,대구광역시 달서구 문화회관11안길 12 (장동),검은색 갈색 흰색,3.7,KSH,1살추정,암컷,양호,없음,방사,2024-04-29,본리종합동물병원,2024-05-02,대구광역시 달서구 문화회관11안길 12 (장동),-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291404526.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291404349[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291404431.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021605163[1].jpg
4.27346E+14,대구광역시,수성구,2024-04-29,들안로 48길 43,치즈,3.96,코숏,7세 추정,수컷,양호,양호,방사,2024-04-29,신세계동물병원,2024-04-30,들안로 48길 43,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291604232.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291604844.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291604941.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301604581.jpg
4.27346E+14,대구광역시,수성구,2024-04-29,수성구 범안로 77,흰 + 검 + 갈,4.32,코숏,3세 추정,수컷,양호,.,방사,2024-04-29,멘토동물병원,2024-04-30,범안로 77,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240429110465[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291104248.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291104412[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304415.jpg
4.27348E+14,대구광역시,달성군,2024-04-29,다사읍 매곡로 7,백갈,4,한국고양이,1,수컷,양호,.,방사,2024-04-29,119동물병원,2024-04-30,다사읍 매곡로 7,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404185.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404484.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404569.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404641.jpg
4.27348E+14,대구광역시,달성군,2024-04-29,다사읍 매곡로 7,백흑,4,한국고양이,2,수컷,양호,.,방사,2024-04-29,119동물병원,2024-04-30,다사읍 매곡로 7,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404703.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240430140476.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404126.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404981.jpg
4.27346E+14,대구광역시,수성구,2024-04-29,무학로35길114,검갈.흰색,4.3,코숏,5년,수컷,양호,-,방사,2024-04-29,제니스동물병원,2024-04-30,무학로35길114,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291504118.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291504116.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404291504162.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301204736.jpg
